RETAILER_CODE,RANG,GAME_CODE_RECOMMANDE,SCORE_POPULARITE_GLOBALE
29101201,2,3,100484216409
29101201,3,5,95018416278
29101201,4,4,85292762690
29101201,5,1,59492690176
29101310,1,3,100484510032
29101310,2,5,94808704125
29101310,3,2,92591841905
29101310,4,4,85065199718
29101310,5,1,59339754983
29101801,1,6,110215483313
29101801,2,3,100326587501
29101801,3,4,85292762690
29101801,4,1,59339090216
29101801,5,10,51363975218
29101901,1,6,109674268740
29101901,2,3,100484510032
29101901,3,2,91814005212
29101901,4,4,85292762690
29101901,5,1,58941389534
29102510,1,6,110542381444
29102510,2,7,98571690749
29102510,3,5,95018832108
29102510,4,2,92393509984
29102510,5,4,85292762690
29102790,1,6,110542381444
29102790,2,3,100484320794
29102790,3,7,98673697503
29102790,4,2,92591841905
29102790,5,4,85292762690
29103010,1,6,110542381444
29103010,2,3,100484510032
29103010,3,7,98673824793
29103010,4,5,95018832108
29103010,5,2,92591841905
29105010,1,6,110542381444
29105010,2,7,98673620714
29105010,3,5,95018551274
29105010,4,2,92591841905
29105010,5,4,85292482516
29105101,1,6,110542381444
29105101,2,5,95018634107
29105101,3,4,85292762690
29105101,4,1,59492330573
29105101,5,10,51487393964
29106501,1,6,110542381444
29106501,2,3,100484510032
29106501,3,7,98673824793
29106501,4,5,95018832108
29106501,5,2,92591841905
29106901,1,7,98673822942
29106901,2,2,92591841905
29106901,3,4,85292759004
29106901,4,1,59492690176
29106901,5,10,51487670320
29107301,1,3,100484282970
29107301,2,4,85292606599
29107301,3,1,59492449585
29107301,4,10,51487674237
29107301,5,9,49803550035
29108401,1,6,110542381444
29108401,2,3,100484510032
29108401,3,7,98673824793
29108401,4,5,95018832108
29108401,5,2,92591841905
29108610,1,6,110542381444
29108610,2,3,100484510032
29108610,3,7,98673824793
29108610,4,5,95018832108
29108610,5,2,92591841905
29109201,1,6,110542381444
29109201,2,3,100484510032
29109201,3,7,98673824793
29109201,4,5,95018832108
29109201,5,2,92591841905
29109520,1,6,110541604246
29109520,2,3,100482602856
29109520,3,5,95016877448
29109520,4,2,92590299442
29109520,5,1,59492690176
29110001,1,3,100362296280
29110001,2,2,92536818564
29110001,3,4,85174593850
29110001,4,1,59375172451
29110001,5,9,49719742146
29110501,1,6,110542381444
29110501,2,3,100484510032
29110501,3,7,98673824793
29110501,4,5,95018832108
29110501,5,2,92591841905
29111101,1,6,110542381444
29111101,2,3,100484510032
29111101,3,7,98673824793
29111101,4,5,95018832108
29111101,5,4,85292754458
29115201,1,6,110542381444
29115201,2,3,100484510032
29115201,3,7,98673824793
29115201,4,5,95018832108
29115201,5,2,92591841905
29117601,1,6,110541087563
29117601,2,3,100483862333
29117601,3,7,98673824793
29117601,4,5,95018832108
29117601,5,4,85292155085
29200901,1,6,110542381444
29200901,2,3,100484510032
29200901,3,7,98673824793
29200901,4,5,95018832108
29200901,5,2,92591841905
29201901,1,6,110408649711
29201901,2,7,98673824793
29201901,3,5,95018832108
29201901,4,2,92591841905
29201901,5,4,85292762690
29202001,1,6,110542381444
